danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.777,0.469,6,-8.344,0,0.163,0.162,0.00239,0.108,0.557,136.05,audio_features,2L0PRavRIQIjVcZK4Qgfgi,spotify:track:2L0PRavRIQIjVcZK4Qgfgi,https://api.spotify.com/v1/tracks/2L0PRavRIQIjVcZK4Qgfgi,https://api.spotify.com/v1/audio-analysis/2L0PRavRIQIjVcZK4Qgfgi,132500,4
0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,audio_features,0Aqi7ArnBrGblW5T6p2jmD,spotify:track:0Aqi7ArnBrGblW5T6p2jmD,https://api.spotify.com/v1/tracks/0Aqi7ArnBrGblW5T6p2jmD,https://api.spotify.com/v1/audio-analysis/0Aqi7ArnBrGblW5T6p2jmD,159382,4
0.596,0.841,1,-5.679,1,0.272,0.0104,2.08e-05,0.139,0.465,127.832,audio_features,0P0ipbaTJXloAaTP3fwIch,spotify:track:0P0ipbaTJXloAaTP3fwIch,https://api.spotify.com/v1/tracks/0P0ipbaTJXloAaTP3fwIch,https://api.spotify.com/v1/audio-analysis/0P0ipbaTJXloAaTP3fwIch,211875,4
0.533,0.919,4,-3.395,1,0.0477,0.000404,0.185,0.525,0.23,173.972,audio_features,04gpFR5gsNonaD6nLu5ync,spotify:track:04gpFR5gsNonaD6nLu5ync,https://api.spotify.com/v1/tracks/04gpFR5gsNonaD6nLu5ync,https://api.spotify.com/v1/audio-analysis/04gpFR5gsNonaD6nLu5ync,259397,4
0.5,0.471,6,-11.06,1,0.0331,0.0137,3.26e-05,0.185,0.133,140.04,audio_features,0tCTuHza4yxKQ4UDN5BTx3,spotify:track:0tCTuHza4yxKQ4UDN5BTx3,https://api.spotify.com/v1/tracks/0tCTuHza4yxKQ4UDN5BTx3,https://api.spotify.com/v1/audio-analysis/0tCTuHza4yxKQ4UDN5BTx3,188571,3
0.647,0.648,10,-6.768,1,0.0511,0.092,0.00213,0.142,0.292,143.982,audio_features,1jQn45kNhYtgwQWzjxbt4G,spotify:track:1jQn45kNhYtgwQWzjxbt4G,https://api.spotify.com/v1/tracks/1jQn45kNhYtgwQWzjxbt4G,https://api.spotify.com/v1/audio-analysis/1jQn45kNhYtgwQWzjxbt4G,236617,4
0.469,0.608,8,-5.068,1,0.13,0.131,0.0,0.159,0.115,155.041,audio_features,23XxnNwG7zQA2yESm4Pe2r,spotify:track:23XxnNwG7zQA2yESm4Pe2r,https://api.spotify.com/v1/tracks/23XxnNwG7zQA2yESm4Pe2r,https://api.spotify.com/v1/audio-analysis/23XxnNwG7zQA2yESm4Pe2r,190511,4
0.667,0.66,3,-5.851,1,0.0332,0.69,0.0,0.91,0.252,100.119,audio_features,053bjKdLLqz33hWwrCLykD,spotify:track:053bjKdLLqz33hWwrCLykD,https://api.spotify.com/v1/tracks/053bjKdLLqz33hWwrCLykD,https://api.spotify.com/v1/audio-analysis/053bjKdLLqz33hWwrCLykD,175353,4
0.568,0.643,11,-7.872,1,0.033,0.136,0.174,0.0855,0.477,74.988,audio_features,4PheuFMUMEqJMSiTX7Gvgm,spotify:track:4PheuFMUMEqJMSiTX7Gvgm,https://api.spotify.com/v1/tracks/4PheuFMUMEqJMSiTX7Gvgm,https://api.spotify.com/v1/audio-analysis/4PheuFMUMEqJMSiTX7Gvgm,224839,4
0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,audio_features,76OGwb5RA9h4FxQPT33ekc,spotify:track:76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/tracks/76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/audio-analysis/76OGwb5RA9h4FxQPT33ekc,179551,4
0.691,0.908,11,-2.809,0,0.0868,0.0316,0.0,0.227,0.868,141.991,audio_features,2QwrcxUvwVxvNjk83Xsrf6,spotify:track:2QwrcxUvwVxvNjk83Xsrf6,https://api.spotify.com/v1/tracks/2QwrcxUvwVxvNjk83Xsrf6,https://api.spotify.com/v1/audio-analysis/2QwrcxUvwVxvNjk83Xsrf6,148212,4
